#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   163   0.461053E+04  -0.432211E+02   0.192583E-03  -0.432211E+02   0.968420E+00  -0.833040E-06   0.192583E-03  -0.833040E-06   0.723238E-07
   164   0.463899E+04  -0.429344E+02   0.190832E-03  -0.429344E+02   0.959014E+00  -0.828243E-06   0.190832E-03  -0.828243E-06   0.719165E-07
   165   0.466715E+04  -0.426214E+02   0.189101E-03  -0.426214E+02   0.949363E+00  -0.823204E-06   0.189101E-03  -0.823204E-06   0.715125E-07
   166   0.469498E+04  -0.422821E+02   0.187391E-03  -0.422821E+02   0.939488E+00  -0.817882E-06   0.187391E-03  -0.817882E-06   0.711118E-07
   167   0.472248E+04  -0.419164E+02   0.185702E-03  -0.419164E+02   0.929410E+00  -0.812238E-06   0.185702E-03  -0.812238E-06   0.707145E-07
   168   0.474965E+04  -0.415242E+02   0.184033E-03  -0.415242E+02   0.919151E+00  -0.806233E-06   0.184033E-03  -0.806233E-06   0.703203E-07
   169   0.477648E+04  -0.411055E+02   0.182385E-03  -0.411055E+02   0.908734E+00  -0.799827E-06   0.182385E-03  -0.799827E-06   0.699295E-07
   170   0.480295E+04  -0.406602E+02   0.180758E-03  -0.406602E+02   0.898171E+00  -0.792980E-06   0.180758E-03  -0.792980E-06   0.695418E-07
   171   0.482906E+04  -0.401883E+02   0.179152E-03  -0.401883E+02   0.887493E+00  -0.785653E-06   0.179152E-03  -0.785653E-06   0.691573E-07
   172   0.485480E+04  -0.396896E+02   0.177567E-03  -0.396896E+02   0.876721E+00  -0.777806E-06   0.177567E-03  -0.777806E-06   0.687761E-07
   173   0.488017E+04  -0.391642E+02   0.176002E-03  -0.391642E+02   0.865876E+00  -0.769399E-06   0.176002E-03  -0.769399E-06   0.683979E-07
   174   0.490515E+04  -0.386121E+02   0.174459E-03  -0.386121E+02   0.854980E+00  -0.760393E-06   0.174459E-03  -0.760393E-06   0.680229E-07
   175   0.492974E+04  -0.380334E+02   0.172937E-03  -0.380334E+02   0.844071E+00  -0.750748E-06   0.172937E-03  -0.750748E-06   0.676510E-07
   176   0.495392E+04  -0.374280E+02   0.171437E-03  -0.374280E+02   0.833161E+00  -0.740437E-06   0.171437E-03  -0.740437E-06   0.672821E-07
